iter	Passed	Remaining
0	0	64
1	1	58
2	1	53
3	2	51
4	2	55
5	3	58
6	4	61
7	5	63
8	6	64
9	7	64
10	8	64
11	8	63
12	9	62
13	10	61
14	10	61
15	11	61
16	12	60
17	13	59
18	13	59
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	19	54
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	52	14
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
